Student,Class,AGE (Y/M),Age Decimal,HEIGHT,FOOT LENGTH,INDEX FINGER,# LETTERS,EYE COLOUR
1,78,12-11,12.9,174,26,10,5,blue
2,78,13/11,13.9,173,24,9,5,Green
3,78,13\6,13.5,173,28,9,5,Brown
4,78,13/12,13.9,152,22,8,5,Brown
5,78,13/8,13.7,162,23,9,5,Green
6,78,12-1,12.1,160,26,8,4,Brown
7,78,11-11,11.9,154,23,7,7,Blue
8,78,12-9,12.75,159,23,8,9,Blue
9,78,12-6,12.5,160,25,9,6,Blue
10,78,12-11,12.9,149,22,9,6,blue
11,78,11-1,11.1,165,26,8,8,Brown
12,78,11-11,11.9,171,28,8,6,Brown
13,78,13/1,13.1,147,22,8,7,Blue
14,78,12,12,152,24,10,8,brown
15,78,13/9,13.75,160,26,8,5,Brown
16,78,13/6,13.5,180,29,11,6,Brown
17,78,13/5,13.4,173,27,8,6,Brown
18,78,12-2,12.2,153,24,9,5,Blue
19,78,14/8,14.7,168,29,10,5,Blue
20,56,11-1,11.1,147,22,7,5,Blue
21,56,10-8,10.7,144,22,8,5,Blue
22,56,12-5,12.4,150,25,9,4,Brown
23,56,10-11,10.9,155,23,9,6,Blue
24,56,11/0,11,159,23,9,10,Blue
25,56,11-2,11.2,160,23,9,6,Brown
26,56,11-5,11.4,140,22,7,6,Blue
27,56,11-5,11.4,140,22,8,7,Blue
28,56,10-4,10.3,143,22,8,4,Brown
29,56,9-11,9.9,142,20,7,4,Brown
30,56,10-5,10.4,150,25,8,6,Green
31,56,10-5,10.4,154,24,8,8,Brown
32,56,10-9,10.75,136,21,8,8,Brown
33,56,10-10,10.8,159,22,8,8,Brown
34,56,10-3,10.2,156,24,8,7,Brown
35,56,10-3,10.2,140,21,7,7,Blue
36,56,9-11,9.9,140,20,7,7,Brown
37,56,10-7,10.6,152,21,7,5,Brown
38,56,10-5,10.4,148,22,7,6,Blue
39,56,9-11,9.9,138,20,7,4,Blue
40,56,10-8,10.7,156,24,8,5,Blue
41,56,10-11,10.9,159,23,8,4,Blue
42,56,11-6,11.5,148,22,8,5,Blue
43,56,10-2,10.2,138,21,7,4,Brown
44,56,11-6,11.5,150,24,9,7,Brown
